0,0,'summer', ':(', ':)', 'raining', 'issued', 'soon', 'cdt', 'bring', 'windy', 'sleep', 'edt', 'winds', 'cold', 'hate', 'perfect', 'nws', 'storms', 'sunday', 'better', 'finally', 'air', 'degrees', '4', 'pretty', 'wet', 'enjoying', 'ride', 'hope', 'good', 'hit', 'watching', 'big', 'watch', 'gonna', 'da', 'mention', 'feels', 'sunny', 'world', 'bit', 'day', 'cool', 'county', 'school', 'clouds', 'd', 'cloudy', 'morning', 'bad', 'night', 'gotta', 'enjoy', 'fair', 'people', 'fucking', 'house', 'national', 'yeah', 'hail', 'year', 'home', '80', 'humidity', 'stop', 'saturday', 'best', 'sun', 'wow', 'forecast', 'current', '3', 'smh', 'conditions', 'supposed', 'ass', 'aint', 'run', '10', 'degree', 'friday', 'yesterday', 'water', 'southeast', 'news', '100', 'change', 'wait', 'dry', 'great', 'ok', 'getting', 'god', 'days', 'amazing', 'chilly', 'afternoon', 'w', 'joplin', 'wanna', 'south', 'gorgeous', 'already', 'love', 'feel', '70', 'walk', 'down', 'weather', 'lol', 'open', 'tomorrow', 'city', 'long', 'service', 'area', 'west', 'due', 'been', 'start', 'live', '2', 'damn', 'storm', 'spring', 'lovely', 'today', 'happy', 'expiring', 'life', 'north', 'season', 'sunshine', 'park', 'c', 'heat', 'warm', '90', 'glad', 'high', 'east', 'temp', 'f', 'car', 'inside', 'work', 'bed', 'n', 'texas', 'fun', 'making', 'pm', 'didnt', 'beautiful', 'crazy', 'san', 'awesome', 'fuck', 'tonight', 'cant', 'warning', 'showers', 'ready', 'partly', 'check', 'shit', 'rainy', 'end', 'winter', 'snow', '1', 'loving', 'hot', '5', 'skies', 'beach', 'channel', 'nice', 'week', 'monday', 'tornado', 'freezing', 'thunderstorm', 'rain', 'stay', 'chance', 'moving', 'mph', 'coming', 'thunder', 'weekend', 'pool', 'man', 'e', 'game', 'severe', 'time', 'haha', 'thunderstorms', 'wind', 'fb'
5,1,'summer', 'ugh', ':(', ':)', 'raining', 'issued', 'soon', 'cdt', 'windy', 'sleep', 'edt', 'winds', 'todays', 'cold', 'hate', 'perfect', 'nws', 'storms', 'sunday', 'better', 'to', 'finally', 'air', 'degrees', '4', 'pretty', 'wet', 'bout', 'enjoying', 'ride', 'hope', 'southwest', 'good', 'watching', 'big', 'watch', 'gonna', 'da', 'mention', 'feels', 'sunny', 'world', 'bit', 'day', 'cool', 'county', 'school', 'clouds', 'd', 'cloudy', 'morning', 'bad', 'night', 'gotta', 'enjoy', 'fair', 'people', 'fucking', 'spring', 'national', 'yeah', 'hail', 'hair', 'home', '80', 'humidity', 'stop', 'fb', 'best', 'sun', 'wow', 'forecast', 'current', '3', 'smh', 'conditions', 'ass', 'aint', 'run', '10', 'degree', 'friday', 'southeast', 'wear', 'news', '100', 'wait', 'great', 'ok', 'getting', '00mph', 'god', 'days', 'amazing', 'chilly', 'afternoon', 'w', 'wanna', 'south', 'gorgeous', 'already', 'love', 'feel', 'coming', 'walk', 'down', 'weather', 'lol', 'open', 'tomorrow', 'city', 'long', 'service', 'area', 'west', 'due', 'been', 'start', 'live', '2', 'damn', 'storm', 'house', 'lovely', 'today', 'happy', 'expiring', 'north', 'shorts', 'sunshine', 'park', 'c', 'heat', 'warm', '90', 'glad', 'high', 'east', 'room', 'temp', 'f', 'car', 'inside', 'work', 'sucks', 'bed', 'n', 'evening', 'texas', 'fun', 'making', 'pm', 'beautiful', 'crazy', 'san', 'af', 'awesome', 'fuck', 'tonight', 'cant', 'warning', 'showers', 'ready', 'partly', 'check', 'shit', 'rainy', 'end', 'sitting', 'snow', 'saturday', 'loving', 'hot', '5', 'skies', 'beach', 'nice', 'week', 'monday', 'tornado', 'freezing', 'thunderstorm', 'rain', 'stay', 'chance', 'moving', 'mph', 'kinda', '70', 'thunder', 'weekend', 'pool', 'man', 'e', 'game', 'severe', 'time', 'haha', 'thunderstorms', 'wind'
6,0,'summer', ':(', ':)', 'raining', 'issued', 'soon', 'cdt', 'bring', 'windy', 'sleep', 'edt', 'winds', 'todays', 'cold', 'hate', 'perfect', 'nws', 'storms', 'sunday', 'better', 'finally', 'air', 'degrees', '4', 'pretty', 'wet', 'enjoying', 'hope', 'southwest', 'good', 'hit', 'watching', 'big', 'watch', 'mph', 'da', 'mention', 'feels', 'sunny', 'world', 'bit', 'day', 'cool', 'county', 'school', 'clouds', 'd', 'cloudy', 'morning', 'bad', 'night', 'gotta', 'enjoy', 'fair', 'people', 'fucking', 'house', 'national', 'yeah', 'hail', 'year', 'home', '80', 'humidity', 'stop', 'saturday', 'best', 'sun', 'wow', 'forecast', 'current', '3', 'smh', 'conditions', 'ass', 'aint', 'run', '10', 'degree', 'friday', 'yesterday', 'water', 'southeast', 'wear', 'news', '100', 'change', 'wait', 'great', 'ok', 'getting', 'god', 'days', 'amazing', 'chilly', 'afternoon', 'w', 'joplin', 'wanna', 'south', 'gorgeous', 'already', 'love', 'feel', '70', 'walk', 'down', 'weather', 'lol', 'open', 'tomorrow', 'city', 'long', 'service', 'area', 'west', 'due', 'been', 'start', 'live', '2', 'damn', 'storm', 'spring', 'lovely', 'today', 'happy', 'expiring', 'life', 'north', 'sunshine', 'haha', 'c', 'heat', 'warm', '90', 'glad', 'tonight', 'east', 'temp', 'f', 'car', 'inside', 'work', 'sucks', 'bed', 'n', 'texas', 'fun', 'making', 'pm', 'didnt', 'beautiful', 'crazy', 'san', 'park', 'awesome', 'fuck', 'high', 'cant', 'warning', 'showers', 'ready', 'partly', 'check', 'shit', 'rainy', 'end', 'winter', 'snow', '1', 'loving', 'hot', '5', 'skies', 'beach', 'channel', 'nice', 'week', 'monday', 'tornado', 'freezing', 'thunderstorm', 'rain', 'stay', 'chance', 'moving', 'gonna', 'coming', 'thunder', 'weekend', 'pool', 'man', 'e', 'game', 'severe', 'time', 'thunderstorms', 'wind', 'fb'
6,1,'summer', ':(', ':)', 'nws', 'rapture', 'issued', 'move', 'scattered', 'soon', 'rest', 'isolated', 'cdt', 'bring', 'windy', 'edt', 'winds', 'cold', 'issues', 'tomorrows', 'perfect', 'show', 'storms', 'hot', 'thursday', 'better', 'chances', 'degrees', '4', 'wet', 'weeks', '2011', 'excited', 'hope', 'good', 'hit', 'risk', '10', 'big', 'watch', 'gonna', 'early', 'mention', 'game', '12', 'report', 'world', 'day', 'cool', 'down', 'clouds', 'tstorm', 'cooler', 'mothers', 'wednesday', 'cloudy', 'morning', 'bad', 'race', 'night', 'river', 'heading', 'enjoy', 'people', 'spring', 'national', 'hail', 'warmer', 'states', 'year', 'home', '80', 'saturday', 'best', '60s', 'sun', 'hurricane', 'forecast', 'current', '3', 'central', '7', 'conditions', 'degree', 'slight', 'late', 'friday', 'free', '70s', 'temps', 'news', 'strong', 'wait', 'dry', 'c', 'ok', 'ahead', 'getting', 'florida', 'days', 'weathercom', 'afternoon', 'w', 'heavy', 'outlook', 'love', 'tuesday', '70', 'county', 'weather', 'been', 'open', 'tomorrow', 'san', 'city', 'long', 'service', 'area', 'mid', 'due', 'lol', 'start', '2', 'storm', '6', 'expected', 'today', 'pm', 'expiring', 'partly', 'fire', 'season', 'update', 'sunshine', 'haha', 'great', 'heat', 'warm', 'lows', '90', 'tonight', 'b', 'ride', 'work', 'n', 'evening', 'suppose', 'supposed', 'fun', 'happy', 'expect', 'beautiful', 'gone', 'hoping', 'predict', 'high', 'cant', 'warning', 'showers', 'ready', 'texas', 'check', 'sat', 'rainy', 'united', 'end', 'winter', 'trip', 'snow', 'event', '1', 'flood', 'sunday', '5', 'party', 'skies', 'beach', 'channel', 'nice', 'week', 'permitting', 'monday', 'tornado', 'sunny', 'highs', 'june', 'thunderstorm', 'rain', 'stay', 'chance', 'coming', 'thunder', 'weekend', 'man', 'center', 'clear', 'later', 'severe', 'time', 'thunderstorms', 'fb'
7,0,'summer', ':(', ':)', 'raining', 'issued', 'soon', 'cdt', 'bring', 'windy', 'sleep', 'edt', 'winds', 'todays', 'cold', 'hate', 'perfect', 'nws', 'storms', 'sunday', 'better', 'to', 'finally', 'air', 'degrees', '4', 'pretty', 'wet', 'bout', 'enjoying', 'hope', 'southwest', 'good', 'hit', 'watching', 'big', 'watch', 'gonna', 'early', 'mention', 'feels', 'sunny', 'world', 'bit', 'day', 'cool', 'county', 'school', 'clouds', 'd', 'cloudy', 'morning', 'bad', 'night', 'ride', 'enjoy', 'fair', 'people', 'fucking', 'house', 'national', 'yeah', 'hail', 'year', 'home', '80', 'humidity', 'stop', 'saturday', 'best', 'sun', 'wow', 'forecast', 'current', '3', 'smh', 'conditions', 'supposed', 'ass', 'aint', 'run', '10', 'degree', 'friday', 'gotta', 'yesterday', 'southeast', 'news', '100', 'wait', 'dry', 'great', 'ok', 'getting', 'god', 'days', 'amazing', 'chilly', 'afternoon', 'w', 'joplin', 'wanna', 'south', 'gorgeous', 'already', 'love', 'feel', '70', 'walk', 'down', 'weather', 'lol', 'open', 'tomorrow', 'city', 'long', 'service', 'area', 'west', 'due', 'been', 'start', 'live', '2', 'damn', 'storm', 'spring', 'lovely', 'today', 'happy', 'expiring', 'north', 'sunshine', 'park', 'c', 'heat', 'warm', '90', 'glad', 'high', 'east', 'temp', 'f', 'car', 'inside', 'work', 'bed', 'n', 'evening', 'texas', 'fun', 'making', 'pm', 'didnt', 'beautiful', 'crazy', 'san', 'awesome', 'fuck', 'tonight', 'cant', 'warning', 'showers', 'ready', 'partly', 'check', 'shit', 'rainy', 'end', 'winter', 'snow', '1', 'loving', 'hot', '5', 'skies', 'beach', 'nice', 'week', 'monday', 'tornado', 'freezing', 'thunderstorm', 'rain', 'stay', 'chance', 'moving', 'mph', 'coming', 'thunder', 'weekend', 'pool', 'man', 'e', 'game', 'severe', 'time', 'haha', 'thunderstorms', 'wind', 'fb'
7,1,'summer', 'gt', ':(', ':)', 'show', 'photo', 'move', 'weekend', 'tornadoes', 'bring', 'windy', 'radio', 'cold', 'hate', 'find', 'perfect', 'family', 'head', 'storms', '3', 'blog', 'air', 'degrees', '4', 'pretty', 'wet', '2011', 'hope', 'real', 'good', 'song', 'ya', 'big', 'safe', 'watch', 'gonna', 'da', 'mention', 'game', 'report', 'world', 'day', 'cool', 'school', 'd', 'morning', 'bad', 'night', 'enjoy', 'people', 'spring', 'twitter', 'hard', 'yeah', 'video', 'year', 'home', 'humidity', 'stop', 'best', 'lt3', 'chicago', 'sun', 'ice', 'forecast', 'state', 'tips', 'ass', 'aint', 'run', 'degree', 'online', 'team', 'free', 'update', 'water', 'wear', 'put', 'news', 'post', 'change', 'wait', 'climate', 'kids', 'ok', 'getting', 'god', 'favorite', 'days', 'times', 'chilly', 'place', 'due', 'w', 'wanna', 'love', 'blizzard', 'feel', 'app', 'cuz', 'down', 'weather', 'lol', 'city', 'guess', 'long', 'service', 'area', 'friends', 'hey', 'been', 'sports', 'start', 'live', '2', 'call', 'calm', 'storm', 'house', 'music', 'white', 'extreme', 'national', 'today', 'happy', 'life', 'snowy', 'fire', 'season', 'sunshine', 'haha', 'great', 'heat', 'warm', '90', 'states', 'kind', 'lmao', 'temp', 'local', 'gotta', 'work', 'n', 'bikini', 'texas', 'fun', 'didnt', 'beautiful', 'crazy', 'patrol', 'san', 'give', 'park', 'florida', 'awesome', 'fuck', 'sunny', 'cant', 'ready', 'seattle', 'check', 'shit', 'car', 'high', 'rainy', 'united', 'end', 'winter', 'watching', 'snow', '1', 'hot', '5', 'special', 'better', 'party', 'beach', 'channel', 'nice', 'week', 'play', 'ur', 'damn', 'tornado', 'freezing', 'slush', 'thunderstorm', 'rain', 'stay', 'tonight', 'coming', 'thunder', 'guys', 'man', 'severe', 'part', 'wind', 'time', 'thunderstorms', 'talk'
8,0,'summer', ':(', ':)', 'raining', 'issued', 'soon', 'cdt', 'bring', 'windy', 'sleep', 'edt', 'winds', 'cold', 'hate', 'perfect', 'nws', 'storms', 'sunday', 'better', 'finally', 'air', 'degrees', '4', 'pretty', 'wet', 'bout', 'enjoying', 'hope', 'southwest', 'good', 'hit', 'watching', 'big', 'watch', 'gonna', 'da', 'mention', 'feels', 'sunny', 'world', 'bit', 'day', 'cool', 'county', 'school', 'clouds', 'd', 'cloudy', 'morning', 'bad', 'night', 'ride', 'enjoy', 'fair', 'people', 'fucking', 'house', 'national', 'yeah', 'hail', 'year', 'home', '80', 'humidity', 'stop', 'saturday', 'best', 'sun', 'wow', 'inside', 'forecast', 'current', '3', 'smh', 'conditions', 'supposed', 'ass', 'aint', 'run', '10', 'degree', 'friday', 'water', 'southeast', 'wear', 'news', '100', 'change', 'wait', 'dry', 'great', 'ok', 'getting', 'god', 'days', 'amazing', 'chilly', 'afternoon', 'w', 'wanna', 'south', 'gorgeous', 'already', 'love', 'feel', '70', 'walk', 'down', 'weather', 'lol', 'open', 'tomorrow', 'city', 'long', 'service', 'area', 'west', 'due', 'been', 'start', 'live', '2', 'damn', 'storm', 'spring', 'lovely', 'today', 'happy', 'expiring', 'life', 'north', 'season', 'sunshine', 'haha', 'c', 'heat', 'warm', '90', 'glad', 'high', 'east', 'temp', 'f', 'car', 'gotta', 'work', 'bed', 'n', 'evening', 'texas', 'fun', 'making', 'pm', 'beautiful', 'crazy', 'san', 'park', 'awesome', 'fuck', 'tonight', 'cant', 'warning', 'showers', 'ready', 'partly', 'check', 'shit', 'rainy', 'end', 'winter', 'snow', '1', 'loving', 'hot', '5', 'skies', 'beach', 'nice', 'week', 'monday', 'tornado', 'freezing', 'thunderstorm', 'rain', 'stay', 'chance', 'moving', 'mph', 'coming', 'thunder', 'weekend', 'pool', 'man', 'e', 'game', 'severe', 'time', 'thunderstorms', 'wind', 'fb'
8,1,'summer', ':(', ':)', 'show', 'photo', 'soon', 'snow', 'watch', 'windy', 'debris', 'cold', 'find', 'perfect', 'death', 'family', 'storms', 'amazing', 'survivors', 'finally', 'degrees', '4', 'pretty', 'wet', 'weeks', '2011', 'hope', 'good', 'hit', 'homes', 'big', 'couple', 'freezing', 'early', 'mention', 'game', 'world', 'bit', 'years', 'day', 'cool', 'county', 'school', 'clouds', 'lost', 'recovery', 'violent', 'morning', 'bad', 'night', 'body', 'set', 'disaster', 'people', 'spring', 'national', 'hard', 'yeah', 'hail', 'past', 'video', 'year', 'home', 'humidity', 'saturday', 'best', 'missed', 'lots', 'sun', 'oklahoma', 'ice', '3', '7', 'red', 'ass', 'kansas', 'run', 'power', 'state', 'friday', 'free', 'yesterday', 'water', 'news', 'change', 'hours', 'great', 'ok', 'getting', 'flooding', 'months', 'days', 'pics', 'april', 'w', 'joplin', 'stuck', 'south', 'degree', '6', 'love', 'blizzard', 'feel', 'childhoodmemories', 'lake', 'down', 'weather', 'been', 'blog', 'tomorrow', 'city', 'story', 'long', 'service', 'area', 'friends', 'due', 'lol', 'sunday', 'needed', 'live', '2', 'call', 'storm', 'house', 'today', 'life', 'north', 'month', 'season', 'sunshine', 'haha', 'photos', 'warm', 'hear', '90', 'glad', '10', 'car', 'mo', 'work', 'tree', 'n', 'record', 'states', 'fun', 'pictures', 'lightning', 'didnt', 'beautiful', 'crazy', 'park', 'awesome', 'al', 'dog', 'tuscaloosa', 'cant', 'ready', 'victims', 'check', 'shit', 'high', 'rainy', 'nights', 'winter', 'chilly', 'watching', 'damage', '1', 'flood', 'hot', '5', 'better', 'channel', 'nice', 'week', 'tornado', 'sunny', 'time', 'tornadoes', 'rain', 'fb', 'coming', 'thunder', 'thunderstorm', 'weekend', 'weird', 'man', 'ago', 'remember', 'drive', 'st', 'thought', 'severe', 'part', 'relief', 'missouri', 'affected', 'alabama', 'thunderstorms', 'wind'
9,0,'summer', ':(', ':)', 'raining', 'issued', 'soon', 'cdt', 'bring', 'windy', 'sleep', 'edt', 'winds', 'cold', 'hate', 'perfect', 'nws', 'storms', 'sunday', 'better', 'finally', 'air', 'degrees', '4', 'pretty', 'wet', 'bout', 'enjoying', 'ride', 'hope', 'good', 'hit', 'watching', 'big', 'watch', 'gonna', 'da', 'mention', 'feels', 'sunny', 'world', 'bit', 'day', 'cool', 'county', 'school', 'd', 'cloudy', 'morning', 'bad', 'night', 'inside', 'enjoy', 'fair', 'people', 'fucking', 'house', 'national', 'yeah', 'hail', 'year', 'home', '80', 'humidity', 'stop', 'saturday', 'best', 'sun', 'wow', 'forecast', 'current', '3', 'smh', 'conditions', 'ass', 'aint', 'run', '10', 'degree', 'friday', 'yesterday', 'water', 'southeast', 'wear', 'news', '100', 'change', 'wait', 'dry', 'great', 'ok', 'getting', 'god', 'days', 'amazing', 'chilly', 'afternoon', 'w', 'joplin', 'wanna', 'south', 'gorgeous', 'already', 'love', 'feel', '70', 'walk', 'down', 'weather', 'lol', 'open', 'tomorrow', 'city', 'long', 'service', 'area', 'west', 'due', 'been', 'start', 'live', '2', 'damn', 'storm', 'spring', 'lovely', 'today', 'pm', 'expiring', 'life', 'north', 'season', 'sunshine', 'haha', 'c', 'heat', 'warm', '90', 'glad', 'high', 'east', 'temp', 'f', 'car', 'gotta', 'work', 'bed', 'n', 'supposed', 'fun', 'making', 'happy', 'didnt', 'beautiful', 'crazy', 'san', 'park', 'awesome', 'fuck', 'tonight', 'cant', 'warning', 'showers', 'ready', 'texas', 'check', 'shit', 'rainy', 'end', 'winter', 'snow', '1', 'loving', 'hot', '5', 'skies', 'beach', 'channel', 'nice', 'week', 'monday', 'tornado', 'freezing', 'thunderstorm', 'rain', 'stay', 'chance', 'moving', 'mph', 'coming', 'thunder', 'weekend', 'pool', 'man', 'e', 'game', 'severe', 'time', 'thunderstorms', 'wind', 'fb'
9,1,'summer', 'currently', ':(', ':)', 'scattered', 'rest', 'mid', 'tstorm', 'windy', 'raleigh', 'edt', 'winds', 'todays', 'cold', 'hate', 'down', 'perfect', '20', 'hope', 'storms', 'hot', 'late', 'window', 'degrees', '4', 'pretty', '52', 'skies', '75', 'good', '10', 'eveningthen', 'sunny', 'mph', 'dark', 'mention', 'feels', 'gloomy', 'mon', 'report', 'bit', 'day', 'cool', 'gray', 'clouds', 'temp', '57', '56', '50', 'cloudy', 'morning', 'p', 'bad', 'durham', 'night', 'automatic', 'upper', 'bright', 'fair', 'tired', 'spring', 'fforecast', 'ncwx', 'home', 'portland', 'humidity', '86', 'saturday', '84', 'turn', '60s', 'sun', 'nature', 'forecast', 'current', '3', '71', 'conditions', 'supposed', 'slight', 'friday', '70s', 'hours', 'news', 'observing', 'tue', 'wait', 'c', 'ok', 'launch', 'god', 'days', 'chilly', 'afternoon', 'w', 'south', 'ugh', 'love', 'colorado', 'feel', 'sky', 'tuesday', 'coming', 'gusting', 'due', '60', '61', 'weather', '64', 'been', '66', '67', '68', 'tomorrow', 'cloud', 'long', 'temperature', 'west', 'fri', 'arvada', 'lol', 'pa', 'storm', 'butler', 'today', 'happy', 'partly', 'becoming', 'sunshine', 'great', 'loving', 'expected', 'warm', 'lows', '91', 'mlb', 'tonight', '15', 'hour', 'f', 'snow', 'inside', 'getting', 'grey', 'n', 'texas', 'maui', 'pm', 'thu', 'later', 'san', 'give', 'high', 'cant', 'evening', 'showers', 'gonna', 'tan', 'breezy', '80', 'sat', 'rainy', 'seattle', 'end', '79f', '63', 'nc', 'isolated', 'field', 'sunday', '5', 'northwest', 'nice', 'week', 'monday', 'highs', 'mother', 'rain', 'stay', '76', 'chance', '74', '73', '72', 'kinda', '70', 'weekend', '79', 'leesburg', 'early', 'light', 'clear', 'overcast', 'cover', 'county', 'antonio', 'severe', 'time', 'thunderstorms', 'wind'
10,0,'summer', ':(', ':)', 'raining', 'issued', 'soon', 'cdt', 'bring', 'windy', 'sleep', 'edt', 'winds', 'todays', 'cold', 'hate', 'perfect', 'nws', 'storms', 'sunday', 'better', 'finally', 'air', 'degrees', '4', 'pretty', 'wet', 'enjoying', '2011', 'hope', 'southwest', 'good', 'hit', 'watching', 'big', 'safe', 'watch', 'gonna', 'da', 'mention', 'feels', 'world', 'bit', 'day', 'cool', 'county', 'school', 'clouds', 'd', 'cloudy', 'morning', 'bad', 'night', 'inside', 'enjoy', 'fair', 'people', 'spring', 'national', 'yeah', 'hail', 'hair', 'year', 'home', '80', 'humidity', 'stop', 'saturday', 'best', 'sun', 'wow', 'forecast', 'current', '3', 'smh', 'conditions', 'supposed', 'ass', 'aint', 'run', '10', 'degree', 'friday', 'yesterday', 'water', 'southeast', 'news', '100', 'change', 'wait', 'dry', 'great', 'ok', 'getting', 'god', 'days', 'amazing', 'afternoon', 'w', 'joplin', 'wanna', 'south', 'gorgeous', 'already', 'love', 'feel', '70', 'walk', 'down', 'weather', 'lol', 'open', 'tomorrow', 'city', 'long', 'service', 'area', 'west', 'due', 'been', 'start', 'live', '2', 'damn', 'storm', 'house', 'lovely', 'today', 'happy', 'expiring', 'life', 'north', 'season', 'sunshine', 'park', 'c', 'heat', 'warm', '90', 'glad', 'high', 'east', 'temp', 'f', 'car', 'ride', 'work', 'n', 'evening', 'texas', 'fun', 'making', 'pm', 'didnt', 'beautiful', 'crazy', 'san', 'awesome', 'fuck', 'tonight', 'cant', 'warning', 'showers', 'ready', 'partly', 'check', 'shit', 'rainy', 'end', 'snow', '1', 'loving', 'hot', '5', 'skies', 'beach', 'channel', 'nice', 'week', 'monday', 'tornado', 'sunny', 'time', 'thunderstorm', 'rain', 'stay', 'chance', 'moving', 'mph', 'coming', 'weekend', 'pool', 'man', 'e', 'game', 'severe', 'thunder', 'haha', 'thunderstorms', 'wind', 'fb'
10,1,'summer', 'watching', '45', ':(', ':)', 'office', 'yea', 'soon', 'bring', 'windy', 'ugh', 'sleep', 'park', 'cold', 'hate', 'aint', '20', 'la', 'thinking', 'waiting', 'better', 'to', 'window', 'degrees', '4', 'pretty', 'wet', 'bout', 'lake', 'hope', 'wearing', 'good', 'sitting', 'blanket', 'freezing', 'gonna', 'da', 'mention', 'feels', 'vegas', 'hands', 'world', 'bit', 'day', 'cool', '60', 'school', 'd', 'cooler', '50', 'cloudy', 'humidity', 'bad', 'stupid', 'night', 'inside', 'yall', 'clothes', 'people', 'fucking', 'house', 'hard', 'yeah', '10', 'warmer', 'year', 'dear', 'home', 'air', 'stop', 'freezin', 'chicago', 'sun', 'wow', 'ice', '3', 'smh', 'pants', 'ass', 'perfect', 'run', 'degree', 'nature', 'spring', 'lmao', 'water', 'wear', 'wtf', 'put', 'super', 'wait', 'great', 'kids', 'ok', 'getting', '30', 'days', 'side', 'turn', 'w', 'wanna', 'fuckin', 'heater', 'already', 'love', 'hoodie', 'feel', '70', 'ac', 'walk', 'down', 'weather', 'lol', 'open', 'tomorrow', 'city', 'guess', 'long', 'omg', 'temperature', 'brrr', 'sweater', 'tired', 'been', 'start', 'live', '2', 'damn', 'colder', 'today', 'happy', 'north', 'shorts', 'bus', 'sunshine', 'haha', 'heat', 'warm', 'tho', 'baby', 'glad', 'high', 'kind', 'room', 'temp', 'f', 'car', 'gotta', 'work', 'sucks', 'bed', 'n', 'record', 'r', 'supposed', 'fun', 'didnt', 'beautiful', 'crazy', 'af', 'almost', 'awesome', 'turned', 'fuck', 'tonight', 'middle', 'cant', 'ready', 'shit', 'thought', 'rainy', 'winter', 'chilly', 'lil', 'morning', 'snow', '40', 'hot', 'sick', 'beach', 'nice', 'week', 'sunny', 'mother', 'yesterday', 'rain', 'stay', 'kinda', 'coming', 'weekend', 'pool', 'man', 'coat', 'game', 'jacket', 'time', 'y', 'cuz', 'wind', 'left'
11,0,'summer', ':(', ':)', 'raining', 'issued', 'soon', 'cdt', 'bring', 'windy', 'sleep', 'edt', 'winds', 'cold', 'hate', 'perfect', 'nws', 'storms', 'sunday', 'better', 'finally', 'air', 'degrees', '4', 'pretty', 'wet', 'enjoying', 'ride', 'hope', 'good', 'hit', 'watching', 'big', 'watch', 'gonna', 'da', 'mention', 'feels', 'sunny', 'world', 'bit', 'day', 'cool', 'county', 'school', 'clouds', 'd', 'cloudy', 'morning', 'bad', 'night', 'gotta', 'enjoy', 'fair', 'people', 'fucking', 'house', 'national', 'yeah', 'hail', 'year', 'home', '80', 'humidity', 'stop', 'saturday', 'best', 'sun', 'wow', 'forecast', 'current', '3', 'smh', 'conditions', 'supposed', 'ass', 'aint', 'run', '10', 'degree', 'friday', 'yesterday', 'water', 'southeast', 'wear', 'news', '100', 'change', 'wait', 'great', 'ok', 'getting', 'god', 'days', 'amazing', 'chilly', 'afternoon', 'w', 'joplin', 'wanna', 'south', 'gorgeous', 'already', 'love', 'feel', '70', 'walk', 'down', 'weather', 'lol', 'open', 'tomorrow', 'city', 'long', 'service', 'area', 'west', 'due', 'been', 'start', 'live', '2', 'damn', 'storm', 'spring', 'lovely', 'today', 'pm', 'expiring', 'life', 'north', 'season', 'sunshine', 'haha', 'c', 'heat', 'warm', '90', 'glad', 'high', 'east', 'temp', 'f', 'car', 'inside', 'work', 'bed', 'n', 'texas', 'fun', 'making', 'happy', 'didnt', 'beautiful', 'crazy', 'san', 'park', 'awesome', 'fuck', 'tonight', 'cant', 'warning', 'showers', 'ready', 'partly', 'check', 'shit', 'rainy', 'end', 'winter', 'snow', '1', 'loving', 'hot', '5', 'skies', 'beach', 'channel', 'nice', 'week', 'monday', 'tornado', 'freezing', 'thunderstorm', 'rain', 'stay', 'chance', 'moving', 'mph', 'coming', 'thunder', 'weekend', 'pool', 'man', 'e', 'game', 'severe', 'time', 'thunderstorms', 'wind', 'fb'
11,1,'pollen', 'summer', ':(', 'nws', 'issued', 'yellow', 'cdt', '900pm', 'windy', 'skin', 'follow', 'hate', 'perfect', 'raining', '23', 'show', 'sunday', 'send', 'late', 'finally', 'degrees', 'lows', 'wet', '8', '2011', 'skies', 'good', 'hit', '10', 'practice', 'sunny', 'lunch', 'updates', 'stays', 'day', 'cool', '59', 'temp', 'mothers', 'humidity', 'race', 'wsw', 'night', 'heightswheat', 'remains', 'enjoy', 'drier', 'gardening', 'fair', 'spring', 'hair', 'officials', 'warmer', 'expect', 'year', '80', 'morning', 'saturday', 'mdt', '800pm', 'flower', '06', 'monday', 'record', 'sun', '08', 'forecast', '3', 'nmwx', 'conditions', 'highs', 'red', 'wa', 'wheatley', 'albuquerque', 'water', 'wildland', 'york', 'put', 'news', 'wait', 'dry', 'temps', 'great', ':-)', 'rare', 'indycar', 'getting', 'anchorage', 'months', '37', 'days', 'chilly', 'napavine', 'levels', 'place', 'w', 'luck', 'south', 'wdisplay', 'streak', 'love', 'danger', 'down', 'weather', 'lol', 'tomorrow', 'spoke', 'driest', 'stretch', 'west', 'top', 'been', 'mark', 'roswell', 'start', 'live', '2', 'telegraph', 'storm', '6', 'expected', 'valley', 'today', 'pm', 'expiring', 'typo', 'fire', 'season', 'sunshine', 'hits', 'heat', 'warm', 'wnw', 'midlandodessa', 'harvest', 'high', 'nmfire', '17', 'middle', '19', '18', 'tree', 'air', 'strawberry', 'states', 'warning', '500', 'learn', 'chelsea', 'beautiful', '07', '30', 'nascar', 'tonight', 'tom', 'cant', 'evening', 'nnw', 'pond', 'weatherfor', 'longest', 'planting', 'rainy', 'united', 'nm', 'weathers', 'percent', 's', '1', 'hot', '5', 'nyc', 'nice', 'week', 'indianapolis', 'plans', 'phoenix', 'mountain', 'watch', 'advice', 'effect', 'rain', 'stay', '002', 'running', '000', 'coming', 'drought', 'weekend', 'warming', 'man', 'kno', '1000pm', 'clear', 'sw', 'thought', 'time', 'oklahoma', 'hope'
